代码,名称
000953,河化股份
430478,峆一药业
688192,迪哲医药-U
688266,泽璟制药-U
836547,无锡晶海
600276,恒瑞医药
002099,海翔药业
300942,易瑞生物
002653,海思科
000513,丽珠集团
002755,奥赛康
002019,亿帆医药
002294,信立泰
000915,华特达因
301075,多瑞医药
301130,西点药业
002393,力生制药
002872,ST天圣
600488,津药药业
605507,国邦医药
688578,艾力斯
002422,科伦药业
300573,兴齐眼药
830946,森萱医药
600380,健康元
300558,贝达药业
002332,仙琚制药
600420,国药现代
688117,圣诺生物
600267,海正药业
002550,千红制药
000952,广济药业
873167,新赣江
002675,东诚药业
600079,人福医药
600613,神奇制药
000908,*ST景峰
688221,前沿生物-U
002773,康弘药业
002262,恩华药业
600062,华润双鹤
300110,华仁药业
300452,山河药辅
300111,向日葵
603229,奥翔药业
603707,健友股份
430017,星昊医药
688189,南新制药
688566,吉贝尔
601089,福元医药
000739,普洛药业
300584,海辰药业
000153,丰原药业
300401,花园生物
002020,京新药业
600513,联环药业
603456,九洲药业
605177,东亚药业
002940,昂利康
600216,浙江医药
000931,中 关 村
603669,灵康药业
301507,民生健康
000623,吉林敖东
002001,新 和 成
000963,华东医药
832566,梓橦宫
603168,莎普爱思
002399,海普瑞
300194,福安药业
603367,辰欣药业
000566,海南海药
900917,海欣Ｂ股
300381,溢多利
605116,奥锐特
600664,哈药股份
600812,华北制药
301281,科源制药
300006,莱美药业
002082,万邦德
300434,金石亚药
300702,天宇股份
600521,华海药业
000813,德展健康
301246,宏源药业
000756,新华制药
001367,海森药业
300158,振东制药
688131,皓元医药
300086,康芝药业
000788,北大医药
688670,金迪克
603538,美诺华
300436,广生堂
603351,威尔药业
002793,罗欣药业
603222,济民健康
603811,诚意药业
832735,德源药业
688321,微芯生物
688799,华纳药厂
603207,小方制药
600196,复星医药
300630,普利退
000597,东北制药
300233,金城医药
300267,尔康制药
603676,卫信康
300636,同和药业
300966,共同药业
600851,海欣股份
600200,*ST苏吴
000766,通化金马
688505,复旦张江
603520,司太立
300723,一品红
002898,*ST赛隆
688513,苑东生物
301211,亨迪药业
300583,赛托生物
300705,九典制药
301089,拓新药业
688166,博瑞医药
600789,鲁抗医药
300254,仟源医药
688091,上海谊众
300725,药石科技
002900,哈三联
300016,北陆药业
301258,富士莱
301277,新天地
003020,立方制药
300363,博腾股份
300497,富祥药业
900904,神奇B股
002437,誉衡药业
300255,常山药业
002102,能特科技
002370,亚太药业
688553,汇宇制药-W
002923,润都股份
688356,键凯科技
688690,纳微科技
300199,翰宇药业
688658,悦康药业
002365,永安药业
