代码,名称
832982,锦波生物
688302,海创药业-U
300204,舒泰神
000518,*ST四环
000661,长春高新
603590,康辰药业
688235,百济神州-U
688336,三生国健
301509,金凯生科
688506,百利天恒
688428,诺诚健华-U
688046,药康生物
833575,康乐卫士
688176,亚虹医药-U
688278,XD特宝生
603087,甘李药业
688382,益方生物-U
600645,中源协和
688739,成大生物
688265,南模生物
600223,福瑞达
430047,诺思兰德
002880,卫光生物
300841,康华生物
837344,三元基因
002038,双鹭药业
688331,荣昌生物
600867,通化东宝
000403,派林生物
002007,华兰生物
688373,盟科药业-U
600211,西藏药业
301166,优宁维
300294,博雅生物
688443,智翔金泰-U
300009,安科生物
839729,永顺生物
301207,华兰疫苗
002252,上海莱士
833230,欧康医药
300683,海特生物
600161,天坛生物
688319,欧林生物
688137,近岸蛋白
301393,昊帆生物
688276,百克生物
300239,东宝生物
688177,百奥泰
300485,赛升药业
688193,仁度生物
688180,君实生物-U
300601,康泰生物
301047,义翘神州
301301,川宁生物
688136,科兴制药
688520,神州细胞
300122,智飞生物
603392,万泰生物
000534,万泽股份
300357,我武生物
688197,首药控股-U
688163,赛伦生物
002581,未名医药
688687,凯因科技
300142,沃森生物
688185,康希诺
688426,康为世纪
688253,英诺特
688247,宣泰医药
688073,毕得医药
688488,艾迪药业
688062,迈威生物-U
301230,泓博医药
688710,益诺思
002693,*ST双成
