代码,名称
300147,ST香雪
600222,太龙药业
300391,*ST长药
002907,华森制药
600993,马应龙
603567,珍宝岛
600080,金花股份
002107,沃华医药
600285,羚锐制药
600422,昆药集团
600771,广誉远
002317,众生药业
000423,东阿阿胶
000999,华润三九
600594,益佰制药
002566,益盛药业
002424,ST百灵
301331,恩威医药
600750,江中药业
836433,大唐药业
300181,佐力药业
002275,桂林三金
000590,启迪药业
600436,片仔癀
600535,天士力
000650,仁和药业
600351,亚宝药业
002603,以岭药业
002349,精华制药
002644,佛慈制药
603439,贵州三力
600566,济川药业
600329,达仁堂
000538,云南白药
603858,步长制药
600572,康恩贝
002864,盘龙药业
002728,特一药业
002412,汉森制药
000790,华神科技
600332,白云山
600976,健民集团
600479,千金药业
300519,新光药业
000919,金陵药业
002737,葵花药业
002166,莱茵生物
600252,中恒集团
833266,生物谷
002287,奇正藏药
002826,易明医药
600085,同仁堂
002390,信邦制药
600671,ST目药
002873,新天药业
603896,寿仙谷
300039,上海凯宝
002198,嘉应制药
600557,康缘药业
300026,红日药业
300534,陇神戎发
603998,方盛制药
301111,粤万年青
603139,康惠制药
300878,维康药业
600129,太极集团
600518,康美药业
000989,九芝堂
605199,ST葫芦娃
300108,*ST吉药
002750,*ST龙津
