代码,名称
300663,科蓝软件
300344,ST立方
301337,亚华电子
300386,飞天诚信
000004,*ST国华
300339,润和软件
300810,中科海讯
835508,殷图网联
688188,柏楚电子
688171,纬德信息
430564,天润科技
600728,佳都科技
301236,软通动力
900926,宝信Ｂ
835184,国源科技
873806,云星宇
300925,法本信息
300598,诚迈科技
301269,华大九天
688168,安博通
600536,中国软件
835207,众诚科技
301592,六九一二
002253,*ST智胜
603508,思维列控
688038,中科通达
603990,麦迪科技
430090,同辉信息
300845,捷安高科
920799,艾融软件
688095,福昕软件
300789,唐源电气
688083,中望软件
872953,国子软件
603383,顶点软件
002322,理工能科
002261,拓维信息
837748,路桥信息
688657,浩辰软件
301197,工大科雅
002405,四维图新
600476,湘邮科技
603927,中科软
301195,北路智控
837092,汉鑫科技
835670,数字人
300550,和仁科技
831832,科达自控
002178,延华智能
834415,恒拓开源
301185,鸥玛软件
300098,高新兴
688201,信安世纪
300311,任子行
301313,凡拓数创
301221,光庭信息
688232,新点软件
688109,品茗科技
300935,盈建科
300520,科大国创
002230,科大讯飞
002528,ST英飞拓
837592,华信永道
000948,南天信息
300542,新晨科技
301117,佳缘科技
300352,北信源
688206,概伦电子
688570,天玛智控
603232,格尔软件
839790,联迪信息
430425,乐创技术
688078,龙软科技
003029,吉大正元
300682,朗新集团
300369,绿盟科技
301159,三维天地
300365,恒华科技
300588,熙菱信息
688111,金山办公
301179,泽宇智能
301178,天亿马
601519,大智慧
300559,佳发教育
688777,中控技术
300235,方直科技
300454,深信服
301172,君逸数码
688291,金橙子
300730,科创信息
300036,超图软件
300348,长亮科技
300624,万兴科技
300552,万集科技
301330,熵基科技
300768,迪普科技
002362,汉王科技
002063,远光软件
301218,华是科技
002212,天融信
300188,国投智能
002268,电科网安
301378,通达海
300830,金现代
688207,格灵深瞳
603528,多伦科技
301208,中亦科技
003007,直真科技
839680,*ST广道
600570,恒生电子
000503,国新健康
300074,华平股份
300249,依米康
301248,杰创智能
300579,数字认证
300996,普联软件
300377,赢时胜
300333,兆日科技
301339,通行宝
688579,山大地纬
300033,同花顺
603138,海量数据
300556,丝路视觉
300075,数字政通
300605,恒锋信息
688023,安恒信息
688695,中创股份
300803,指南针
300302,同有科技
688651,盛邦安全
688152,麒麟信安
835305,*ST云创
688030,山石网科
839493,并行科技
002153,石基信息
600654,中安科
688631,莱斯信息
600602,云赛智联
300451,创业慧康
002410,广联达
300085,银之杰
002421,达实智能
603859,能科科技
688296,和达科技
301556,托普云农
002987,京北方
300469,信息发展
688058,宝兰德
300229,拓尔思
300380,安硕信息
002439,启明星辰
688327,云从科技-UW
301162,国能日新
688060,云涌科技
688561,奇安信-U
002279,久其软件
300378,鼎捷数智
301315,威士顿
301213,观想科技
300659,中孚信息
300465,高伟达
300561,*ST汇科
688588,凌志软件
300525,博思软件
301153,中科江南
832171,志晟信息
300608,思特奇
688318,财富趋势
300253,卫宁健康
688692,达梦数据
300366,创意信息
688244,永信至诚
600588,用友网络
300773,拉卡拉
601360,三六零
688343,云天励飞-U
688031,星环科技-U
688435,英方软件
300468,四方精创
002908,德生科技
688615,合合信息
688590,新致软件
300047,天源迪科
002990,盛视科技
301302,华如科技
688369,致远互联
688227,品高股份
300379,*ST东通
688118,普元信息
002065,东华软件
688507,索辰科技
603039,泛微网络
688225,亚信安全
603189,网达软件
301316,慧博云通
