股票代码,股票名称
873169,七丰精工
430425,乐创技术
301311,昆船智能
300946,恒而达
302132,中航成飞
300607,拓斯达
300581,晨曦航空
688552,航天南湖
688648,中邮科技
301302,华如科技
301662,宏工科技
871263,莱赛激光
833943,优机股份
300643,万通智控
688511,*ST天微
300949,奥雅股份
300726,宏达电子
688115,思林杰
833454,同心传动
300652,雷迪克
871753,天纺标
300587,天铁科技
301251,威尔高
688165,埃夫特-U
301325,曼恩斯特
688081,兴图新科
833171,国航远洋
300866,安克创新
300609,汇纳科技
300328,宜安科技
301048,金鹰重工
300377,赢时胜
688433,华曙高科
688297,中无人机
838670,恒进感应
300923,研奥股份
301040,中环海陆
301255,通力科技
301225,恒勃股份
300907,康平科技
688228,开普云
301381,赛维时代
688598,金博股份
002471,中超控股
605055,迎丰股份
603291,联合水务
603028,赛福天
603332,苏州龙杰
603906,龙蟠科技
002547,春兴精工
002860,星帅尔
002809,红墙股份
603595,东尼电子
002413,雷科防务
603286,日盈电子
600184,光电股份
603712,七一二
000678,襄阳轴承
002190,成飞集成
002977,天箭科技
603579,荣泰健康
002347,泰尔股份
603267,鸿远电子
000997,新 大 陆
603338,浙江鼎力
002779,中坚科技
002551,尚荣医疗
002290,禾盛新材
603416,信捷电气
002981,朝阳科技
600562,国睿科技
002735,王子新材
002931,锋龙股份
603600,永艺股份
002364,中恒电气
600281,华阳新材
603657,春光科技
002514,宝馨科技
002892,科力尔
001356,富岭股份
600523,贵航股份
002331,皖通科技
002651,利君股份
603488,展鹏科技
000559,万向钱潮
688360,德马科技
300747,锐科激光
301023,江南奕帆
300902,国安达
872351,华光源海
300695,兆丰股份
832149,利尔达
300095,华伍股份
300433,蓝思科技
832171,志晟信息
600150,中国船舶
300004,南风股份
688282,理工导航
835185,贝特瑞
837006,晟楠科技
000008,神州高铁
920008,成电光信
688132,邦彦技术
300629,新劲刚
600316,洪都航空
000712,锦龙股份
300276,三丰智能
600760,中航沈飞
300963,中洲特材
002640,跨境通
605068,明新旭腾
300980,祥源新材
603897,长城科技
300266,兴源环境
831641,格利尔
301501,恒鑫生活
600732,爱旭股份
832278,鹿得医疗
688244,永信至诚
301327,华宝新能
300044,ST赛为
003021,兆威机电
601989,中国重工
300709,精研科技
603040,新坐标
603977,国泰集团
430510,丰光精密
688543,国科军工
605389,长龄液压
688381,帝奥微
300879,大叶股份
301119,正强股份
300274,阳光电源
688678,福立旺
300427,红相股份
300205,*ST天喻
603109,神驰机电
300307,慈星股份
300994,久祺股份
603667,五洲新春
000565,渝三峡Ａ
300729,乐歌股份
603916,苏博特
300115,长盈精密
688103,国力股份
301013,利和兴
300778,新城市
688169,石头科技
000519,中兵红箭
600303,曙光股份
002009,天奇股份
301205,联特科技
300696,爱乐达
300633,开立医疗
300119,瑞普生物
000766,通化金马
002276,万马股份
603335,迪生力
600278,东方创业
300922,天秦装备
603818,曲美家居
873122,中纺标
688260,昀冢科技
603083,剑桥科技
301323,新莱福
603350,安乃达
002689,远大智能
300659,中孚信息
873570,坤博精工
873726,卓兆点胶
605080,浙江自然
688011,新光光电
002389,航天彩虹
000962,东方钽业
301187,欧圣电气
836270,天铭科技
872541,铁大科技
603678,火炬电子
603949,雪龙集团
833533,骏创科技
002475,立讯精密
603129,春风动力
688722,同益中
688320,禾川科技
600990,四创电子
002095,生 意 宝
300516,久之洋
836221,易实精密
300109,新开源
002273,水晶光电
001212,中旗新材
688059,华锐精密
301550,斯菱股份
600530,交大昂立
301448,开创电气
688069,德林海
002544,普天科技
300150,世纪瑞尔
300785,值得买
000833,粤桂股份
300506,*ST名家
002361,神剑股份
300083,创世纪
002979,雷赛智能
002384,东山精密
603926,铁流股份
839946,华阳变速
870656,海昇药业
002565,顺灏股份
001236,弘业期货
300126,锐奇股份
833427,华维设计
301387,光大同创
603917,合力科技
300077,国民技术
603392,万泰生物
688333,铂力特
300960,通业科技
600340,华夏幸福
603179,新泉股份
688472,阿特斯
300592,华凯易佰
688582,芯动联科
000768,中航西飞
301606,绿联科技
300555,ST路通
002645,华宏科技
603200,上海洗霸
300680,隆盛科技
300927,江天化学
603112,华翔股份
000048,京基智农
002683,广东宏大
002115,三维通信
301286,侨源股份
603662,柯力传感
002241,歌尔股份
871553,凯腾精工
301322,绿通科技
300756,金马游乐
301413,安培龙
600173,卧龙地产
603809,豪能股份
301235,华康洁净
002268,电科网安
300803,指南针
830896,旺成科技
605305,中际联合
301658,首航新能
300753,爱朋医疗
002130,沃尔核材
300530,领湃科技
300984,金沃股份
688135,利扬芯片
603500,祥和实业
600363,联创光电
300258,精锻科技
600212,绿能慧充
002705,新宝股份
835174,五新隧装
603991,至正股份
002265,建设工业
002353,杰瑞股份
300594,朗进科技
300718,长盛轴承
300762,上海瀚讯
300085,银之杰
300527,中船应急
301565,中仑新材
601689,拓普集团
600575,淮河能源
600243,*ST海华
603124,江南新材
688691,灿芯股份
603050,科林电气
920098,科隆新材
301479,弘景光电
002076,*ST星光
600130,*ST波导
600228,*ST返利
002305,*ST南置
000820,*ST节能
872895,花溪科技
002167,东方锆业
002938,鹏鼎控股
002528,ST英飞拓
688229,博睿数据
000929,*ST兰黄
301168,通灵股份
002789,*ST建艺
603557,ST起步
688028,沃尔德
600753,*ST庚星
000004,*ST国华
603388,*ST元成
603955,大千生态
605050,福然德
000615,*ST美谷
002816,*ST和科
603261,*ST立航
871478,巨能股份
002620,ST瑞和
002289,*ST宇顺
603843,*ST正平
002848,*ST高斯
002126,银轮股份
002200,*ST交投
603663,三祥新材
002898,*ST赛隆
301121,紫建电子
301160,翔楼新材
301233,盛帮股份
002569,*ST步森
003004,*ST声迅
688399,硕世生物
600193,*ST创兴
600391,航发科技
688562,航天软件
002650,ST加加
002141,*ST贤丰
603319,美湖股份
603683,晶华新材
603389,*ST亚振
600893,航发动力
002231,*ST奥维
300676,华大基因
600621,华鑫股份
002047,*ST宝鹰
002214,*ST大立
603021,ST华鹏
603828,ST柯利达
002259,ST升达
300474,景嘉微
688611,杭州柯林
300968,格林精密
000691,*ST亚太
600421,*ST华嵘
603007,*ST花王
002050,三花智控
003032,*ST传智
688408,中信博
002444,巨星科技
688210,统联精密
003043,华亚智能
688776,国光电气
301016,雷尔伟
839790,联迪信息
833455,汇隆活塞
838701,豪声电子
002553,南方精工
603885,吉祥航空
688636,智明达
002164,宁波东力
300694,蠡湖股份
301566,达利凯普
301050,雷电微力
003037,三和管桩
301389,隆扬电子
688084,晶品特装
300638,广和通
688128,中国电研
601022,宁波远洋
002693,*ST双成
301489,思泉新材
600685,中船防务
300221,银禧科技
603429,集友股份
603033,三维股份
600309,万华化学
000656,*ST金科
836419,万德股份
688439,振华风光
688599,天合光能
600372,中航机载
002826,易明医药
833284,灵鸽科技
300424,航新科技
300857,协创数据
605208,永茂泰
300011,鼎汉技术
603280,南方路机
300848,美瑞新材
603283,赛腾股份
600482,中国动力
688410,山外山
002283,天润工业
600366,宁波韵升
300065,海兰信
002988,豪美新材
301345,涛涛车业
688066,航天宏图
603310,巍华新材
300450,先导智能
688400,凌云光
301008,宏昌科技
301004,嘉益股份
600595,中孚实业
002655,共达电声
605286,同力日升
002307,北新路桥
688757,胜科纳米
000571,新大洲A
000026,飞亚达
831906,舜宇精工
688609,九联科技
300310,宜通世纪
688458,美芯晟
603615,茶花股份
300399,天利科技
300553,集智股份
003019,宸展光电
688110,东芯股份
300682,朗新集团
301558,三态股份
301366,一博科技
301307,美利信
002600,领益智造
600399,抚顺特钢
600345,长江通信
835579,机科股份
688507,索辰科技
000921,海信家电
603305,旭升集团
873132,泰鹏智能
001270,*ST铖昌
837592,华信永道
300518,新迅达
688651,盛邦安全
600072,中船科技
002580,圣阳股份
002857,三晖电气
688778,厦钨新能
603859,能科科技
000801,四川九洲
688717,艾罗能源
300053,航宇微
600636,*ST国化
832802,保丽洁
603337,杰克股份
603666,亿嘉和
603009,XD北特科
600761,安徽合力
002747,埃斯顿
600446,金证股份
605117,德业股份
831195,三祥科技
301592,六九一二
002171,楚江新材
300941,创识科技
837663,明阳科技
300942,易瑞生物
300093,*ST金刚
002648,卫星化学
605288,凯迪股份
300467,迅游科技
002426,胜利精密
300059,东方财富
603121,华培动力
688385,复旦微电
688299,长阳科技
300101,振芯科技
600576,祥源文旅
688259,创耀科技
601881,中国银河
837212,智新电子
870357,雅葆轩
688159,有方科技
688303,大全能源
300911,亿田智能
002379,宏创控股
002851,麦格米特
603128,华贸物流
603239,浙江仙通
300169,天晟新材
300174,元力股份
300580,贝斯特
301310,鑫宏业
300020,*ST银江
603895,天永智能
688685,迈信林
002520,日发精机
872190,雷神科技
301315,威士顿
600615,丰华股份
688652,京仪装备
603626,科森科技
300847,中船汉光
300711,广哈通信
600416,湘电股份
688318,财富趋势
001395,亚联机械
300815,玉禾田
600071,凤凰光学
000818,航锦科技
300855,图南股份
831961,创远信科
300913,兆龙互连
300035,中科电气
002922,伊戈尔
688316,青云科技-U
300446,航天智造
301117,佳缘科技
834770,艾能聚
835640,富士达
603721,*ST天择
600405,动力源
002406,远东传动
600448,华纺股份
601156,东航物流
603920,世运电路
300227,光韵达
002365,永安药业
300611,美力科技
300663,科蓝软件
688323,瑞华泰
301571,国科天成
002961,瑞达期货
002267,陕天然气
688631,莱斯信息
300503,昊志机电
603228,景旺电子
301358,湖南裕能
301368,丰立智能
300008,天海防务
873223,荣亿精密
300414,中光防雷
688208,道通科技
000669,ST金鸿
871981,晶赛科技
601606,长城军工
002859,洁美科技
300956,英力股份
833781,瑞奇智造
600644,乐山电力
300981,中红医疗
600428,中远海特
603890,春秋电子
832000,安徽凤凰
300722,新余国科
002965,祥鑫科技
300386,飞天诚信
832491,奥迪威
300438,鹏辉能源
002792,通宇通讯
002112,三变科技
002335,科华数据
603008,喜临门
600570,恒生电子
000039,中集集团
300969,恒帅股份
600259,广晟有色
002204,大连重工
002762,*ST金比
688529,豪森智能
301260,格力博
002074,国轩高科
300589,江龙船艇
000595,*ST宝实
300899,*ST凯鑫
601231,环旭电子
603680,今创集团
301383,天键股份
688375,国博电子
002765,蓝黛科技
000738,航发控制
001379,腾达科技
688272,富吉瑞
603535,嘉诚国际
300564,筑博设计
301151,冠龙节能
600118,中国卫星
688290,景业智能
600206,有研新材
300421,力星股份
688698,伟创电气
300409,道氏技术
301083,百胜智能
002153,石基信息
300354,东华测试
301122,采纳股份
603181,皇马科技
300098,高新兴
688663,新风光
300979,华利集团
002709,天赐材料
000807,云铝股份
000504,*ST生物
300671,富满微
605088,冠盛股份
873576,天力复合
300648,星云股份
600879,航天电子
301300,远翔新材
603185,弘元绿能
601058,赛轮轮胎
001400,江顺科技
688005,容百科技
688390,固德威
002194,武汉凡谷
300380,安硕信息
300853,申昊科技
873706,铁拓机械
832471,美邦科技
300024,机器人
300790,宇瞳光学
600439,瑞贝卡
002586,*ST围海
831167,鑫汇科
688733,壹石通
838275,驱动力
605289,罗曼股份
301208,中亦科技
603341,龙旗科技
688573,信宇人
300342,天银机电
836247,华密新材
300868,杰美特
603125,常青科技
688275,万润新能
301616,浙江华业
688097,博众精工
600707,彩虹股份
002801,微光股份
688345,博力威
300466,赛摩智能
603277,银都股份
300476,胜宏科技
600855,航天长峰
688327,云从科技-UW
601698,中国卫通
601117,中国化学
600699,均胜电子
871642,通易航天
301180,万祥科技
430300,辰光医疗
688025,杰普特
301248,杰创智能
300033,同花顺
603958,哈森股份
688767,博拓生物
000631,顺发恒业
600860,京城股份
300900,广联航空
603232,格尔软件
000420,吉林化纤
688215,瑞晟智能
300007,汉威科技
300750,宁德时代
003033,征和工业
301268,铭利达
301626,苏州天脉
600775,南京熊猫
002465,海格通信
834765,美之高
688392,骄成超声
871245,威博液压
301459,丰茂股份
002947,恒铭达
300475,香农芯创
603583,捷昌驱动
300952,恒辉安防
300245,天玑科技
603052,可川科技
837242,建邦科技
301278,快可电子
600318,新力金融
872374,云里物里
600862,中航高科
002527,新时达
300827,上能电气
603296,华勤技术
300626,华瑞股份
000065,北方国际
688559,海目星
836077,吉林碳谷
688127,蓝特光学
300757,罗博特科
688027,国盾量子
301512,智信精密
603728,鸣志电器
301067,显盈科技
301226,祥明智能
002810,山东赫达
601021,春秋航空
300045,华力创通
002049,紫光国微
832978,开特股份
688096,京源环保
002201,九鼎新材
688523,航天环宇
873001,纬达光电
603011,合锻智能
688227,品高股份
301396,宏景科技
002179,中航光电
920128,胜业电气
300539,横河精密
300842,帝科股份
600438,通威股份
301299,卓创资讯
000547,航天发展
000158,常山北明
688561,奇安信-U
688595,芯海科技
600892,*ST大晟
688510,航亚科技
603713,密尔克卫
600765,中航重机
300068,南都电源
688172,燕东微
300455,航天智装
836414,欧普泰
300846,首都在线
603758,秦安股份
300515,三德科技
605198,安德利
688033,天宜上佳
300482,万孚生物
688416,恒烁股份
603997,继峰股份
688332,中科蓝讯
002403,爱仕达
300502,新易盛
300965,恒宇信通
000901,航天科技
603985,恒润股份
600151,航天机电
300136,信维通信
688528,秦川物联
301076,新瀚新材
600076,康欣新材
688613,奥精医疗
688090,瑞松科技
002058,*ST威尔
688682,霍莱沃
001696,宗申动力
001382,新亚电缆
300345,华民股份
300222,科大智能
600571,信雅达
301665,泰禾股份
300397,天和防务
002026,山东威达
603668,天马科技
002664,信质集团
600343,航天动力
688017,绿的谐波
301363,美好医疗
603111,康尼机电
603726,朗迪集团
300793,佳禾智能
688223,晶科能源
603005,晶方科技
688175,高凌信息
300211,*ST亿通
873693,阿为特
002457,青龙管业
300337,银邦股份
002933,新兴装备
002170,芭田股份
688533,上声电子
600580,卧龙电驱
301219,腾远钴业
688160,步科股份
300034,钢研高纳
688707,振华新材
002741,光华科技
920167,同享科技
000837,秦川机床
300691,联合光电
002254,泰和新材
603659,璞泰来
688151,华强科技
301092,争光股份
300213,佳讯飞鸿
300046,台基股份
002837,英维克
688218,江苏北人
301000,肇民科技
300947,德必集团
002634,棒杰股份
002642,荣联科技
603880,南卫股份
301535,浙江华远
688499,利元亨
000070,ST特信
300491,通合科技
601012,隆基绿能
601111,中国国航
301200,大族数控
300719,安达维尔
600271,航天信息
688686,奥普特
002519,银河电子
831305,海希通讯
300351,永贵电器
600810,神马股份
300099,尤洛卡
002670,国盛金控
300490,华自科技
301596,瑞迪智驱
002028,思源电气
430564,天润科技
688116,天奈科技
300430,诚益通
300465,高伟达
688518,联赢激光
002984,森麒麟
688630,芯碁微装
688563,航材股份
601138,工业富联
688676,金盘科技
000561,烽火电子
002713,*ST东易
002685,华东重机
300333,兆日科技
002459,晶澳科技
832876,慧为智能
002896,中大力德
002985,北摩高科
301367,怡和嘉业
300296,利亚德
688525,佰维存储
002883,中设股份
688709,成都华微
600764,中国海防
836239,长虹能源
300394,天孚通信
301005,超捷股份
688480,赛恩斯
831278,泰德股份
002617,露笑科技
301238,瑞泰新材
300298,三诺生物
000100,TCL科技
600095,湘财股份
300843,胜蓝股份
603082,北自科技
300159,*ST新研
002373,千方科技
601162,天风证券
002970,锐明技术
835892,中科美菱
300593,新雷能
688312,燕麦科技
832419,路斯股份
688045,必易微
300920,润阳科技
300393,中来股份
301001,凯淳股份
002356,赫美集团
834950,迅安科技
603063,禾望电气
300953,震裕科技
688580,伟思医疗
001317,三羊马
603629,利通电子
300619,金银河
920799,艾融软件
002976,瑞玛精密
301357,北方长龙
301365,矩阵股份
000819,岳阳兴长
301328,维峰电子
002460,赣锋锂业
002446,盛路通信
002990,盛视科技
300707,威唐工业
688225,亚信安全
831689,克莱特
870726,鸿智科技
688015,交控科技
300623,捷捷微电
688112,鼎阳科技
835184,国源科技
600183,生益科技
832662,方盛股份
688475,萤石网络
688107,安路科技
002599,盛通股份
603068,博通集成
688281,华秦科技
600030,中信证券
839493,并行科技
831832,科达自控
688002,睿创微纳
300586,美联新材
001282,三联锻造
601137,博威合金
002899,英派斯
688615,合合信息
300660,江苏雷利
300445,康斯特
002046,国机精工
605069,正和生态
603093,南华期货
002180,纳思达
600203,福日电子
600690,海尔智家
688659,元琛科技
002127,南极电商
920116,星图测控
300545,联得装备
301601,惠通科技
688311,盟升电子
688006,杭可科技
688039,当虹科技
002849,威星智能
003009,中天火箭
430418,苏轴股份
002861,瀛通通讯
002587,奥拓电子
605018,长华集团
301397,溯联股份
600435,北方导航
838971,天马新材
300716,ST泉为
601608,中信重工
002287,奇正藏药
688429,时创能源
002122,汇洲智能
300763,锦浪科技
002865,钧达股份
301487,盟固利
300554,三超新材
300352,北信源
688060,云涌科技
300224,正海磁材
301557,常友科技
301586,佳力奇
300568,星源材质
301588,美新科技
300340,科恒股份
300448,浩云科技
601020,华钰矿业
688800,瑞可达
688586,江航装备
300484,蓝海华腾
688255,凯尔达
301021,英诺激光
835179,凯德石英
688669,聚石化学
688270,臻镭科技
300819,聚杰微纤
301280,珠城科技
603039,泛微网络
002975,博杰股份
300851,交大思诺
002496,*ST辉丰
601700,风范股份
300067,安诺其
300918,南山智尚
300885,海昌新材
834475,三友科技
600592,龙溪股份
300521,爱司凯
688503,聚和材料
831526,凯华材料
600884,杉杉股份
300894,火星人
603178,圣龙股份
002554,惠博普
300218,安利股份
001308,康冠科技
300684,中石科技
300275,梅安森
688629,华丰科技
603665,康隆达
603197,保隆科技
300488,恒锋工具
002635,安洁科技
603798,康普顿
603085,天成自控
688306,均普智能
688348,昱能科技
300256,星星科技
002182,宝武镁业
002935,天奥电子
600589,大位科技
002226,江南化工
300602,飞荣达
002105,信隆健康
603602,纵横通信
300708,聚灿光电
600148,长春一东
300447,全信股份
688118,普元信息
832885,星辰科技
600301,华锡有色
920108,宏海科技
300820,英杰电气
300637,扬帆新材
603236,移远通信
300862,蓝盾光电
301218,华是科技
000638,*ST万方
000632,三木集团
603789,*ST星农
603312,西典新能
300001,特锐德
600712,南宁百货
600939,重庆建工
002805,丰元股份
301356,天振股份
603586,金麒麟
000035,中国天楹
002432,九安医疗
002428,云南锗业
601865,福莱特
605398,新炬网络
603016,新宏泰
300836,佰奥智能
301183,东田微
300562,乐心医疗
603767,中马传动
688071,华依科技
603330,天洋新材
301007,德迈仕
600958,东方证券
300889,爱克股份
301458,钧崴电子
300161,华中数控
301080,百普赛斯
688343,云天励飞-U
600798,宁波海运
000933,神火股份
300895,铜牛信息
300118,东方日升
300348,长亮科技
873593,鼎智科技
002730,电光科技
002941,新疆交建
603993,洛阳钼业
002101,广东鸿图
301266,宇邦新材
600733,北汽蓝谷
300630,普利退
300540,蜀道装备
300350,华鹏飞
002522,浙江众成
301349,信德新材
603190,亚通精工
300802,矩子科技
002760,凤形股份
600889,南京化纤
000520,凤凰航运
300229,拓尔思
301259,艾布鲁
837748,路桥信息
601600,中国铝业
300870,欧陆通
688567,孚能科技
000576,甘化科工
301039,中集车辆
871857,泓禧科技
605086,龙高股份
601890,亚星锚链
836720,吉冈精密
300713,英可瑞
000736,*ST中地
688653,康希通信
688083,中望软件
600128,苏豪弘业
601106,中国一重
300464,星徽股份
603298,杭叉集团
